Date,Score
2019-01-07,2.4719792786535515
2019-02-09,0.6491644629554961
2019-02-19,1.1666833180936051
2019-03-12,2.451676388478732
2019-03-17,2.517741695310797
2019-04-22,2.8363388079126963
2019-04-27,2.6248063165665614
2019-04-30,2.526740037326568
2019-05-03,2.766810131697621
2019-05-15,2.475204990053028
2019-06-24,2.521939216091334
2019-09-26,2.70155854977643
2019-09-29,2.505020154583974
2019-09-30,2.7431575221920963
2020-02-18,2.597822094132887
2020-03-04,2.3449463990715205
2020-03-10,2.769222935804516
2020-03-12,2.556026572601888
2020-03-24,2.549876103925494
2020-04-15,3.1689907536949558
2020-05-18,2.933776718373112
2020-05-29,2.6463068035875708
2020-06-14,2.58327778599732
2020-06-17,2.5172324481194086
2020-06-20,1.6664237156428898
2020-07-10,3.577322603731628
2020-08-02,2.526358421891928
2020-08-06,1.5794661704833317
2020-08-10,2.575430853416796
2020-08-14,2.462532772449166
2020-09-17,2.7955689014790006
2020-09-23,2.5834478305973843
2020-10-05,2.4989613704228604
2020-10-07,1.955793150098673
2020-10-10,2.717612109793655
2020-10-14,2.6232971935088947
2020-10-15,2.6662882044964253
2020-10-20,2.783643607158175
2020-10-21,2.355266769534941
2020-10-26,2.496769330578638
2020-11-10,2.651138089553839
2020-11-11,2.2718774933833257
2020-11-13,2.649273047390995
2020-11-17,2.6775120320377863
2020-11-25,2.577302545385655
2020-11-27,2.1055655083306397
2020-11-30,2.977647575930307
2020-12-01,2.6472952934560685
2020-12-08,2.5817044812186887
2020-12-14,2.435435784527596
2020-12-17,2.659838159980801
2020-12-22,1.1235141731144085
2020-12-30,4.364252626845398
2020-12-31,2.11439069519554
2021-01-01,1.1048507959012002
2021-01-03,2.832369147908246
2021-01-04,2.49488043630907
2021-01-05,4.529050490884468
2021-01-06,4.7164031417300505
2021-01-07,2.3373512554436964
2021-01-08,3.224433562431954
2021-01-09,2.500649937458799
2021-01-10,2.501305788631999
2021-01-11,1.823033640714272
2021-01-12,2.578211814573395
2021-01-13,2.78704266063869
2021-01-14,2.58640157989106
2021-01-15,3.2876691914055614
2021-01-16,2.4221129281698084
2021-01-17,2.6118552561806347
2021-01-20,2.5087250205469305
2021-01-21,2.2942409835326747
2021-01-22,2.8949970381755423
2021-01-23,2.3931005597114563
2021-01-28,2.5746160955435102
2021-01-29,2.4566112309264962
2021-01-30,2.683957428126576
2021-01-31,2.592926347545572
2021-02-03,2.5552979458293095
2021-02-04,3.6533505291414095
2021-02-05,1.4812845885790598
2021-02-07,2.5881814378161407
2021-02-08,2.568740670574147
2021-02-09,2.556293854082877
2021-02-10,2.576681924927042
2021-02-12,2.4291971538144774
2021-02-13,2.5821969436022987
2021-02-14,2.653529092816311
2021-02-15,4.760677464051235
2021-02-16,3.1613339307084645
2021-02-17,2.507093957895153
2021-02-19,1.6550155554501411
2021-02-20,3.0151542348844784
2021-02-21,2.4128541696278556
2021-02-22,2.3215717845615047
2021-02-23,1.4529029834009843
2021-02-25,2.5859891649090834
2021-02-26,2.5964024415599356
2021-02-27,2.6660607521535127
2021-02-28,2.7090583596622597
2021-03-01,2.758689193889247
