,BTC-USD,ETH-USD,BNB-USD,XRP-USD,ADA-USD,MATIC-USD,SOL-USD,DOT-USD,SHIB-USD,APE-USD,dates
0,29374.15234375,730.3675537109375,37.90501022338867,0.23744399845600128,0.17534999549388885,0.017812000587582588,1.8420840501785278,8.306818962097168,0.0,0.19211900234222412,2021-01-01
1,32127.267578125,774.5349731445312,38.24159240722656,0.2216549962759018,0.17742300033569336,0.019043000414967537,1.7992750406265259,9.208836555480957,0.0,0.19876199960708618,2021-01-02
2,32782.0234375,975.5076904296875,41.14897918701172,0.2258480042219162,0.20499500632286072,0.019974999129772186,2.1617519855499268,10.033283233642578,0.0,0.25675299763679504,2021-01-03
3,31971.9140625,1040.2330322265625,40.926353454589844,0.23667700588703156,0.2247619926929474,0.0246140006929636,2.4850969314575195,9.469611167907715,0.0,0.25722599029541016,2021-01-04
4,33992.4296875,1100.006103515625,41.73460006713867,0.22675000131130219,0.25831401348114014,0.024467000737786293,2.157217025756836,9.701656341552734,0.0,0.256305992603302,2021-01-05
5,36824.36328125,1207.1121826171875,42.16595458984375,0.2508949935436249,0.3318980038166046,0.03513500094413757,1.929216980934143,10.096068382263184,0.0,0.2281620055437088,2021-01-06
6,39371.04296875,1225.6781005859375,43.44948959350586,0.32600200176239014,0.2999800145626068,0.03299900144338608,2.3727450370788574,9.644584655761719,0.0,0.2262060046195984,2021-01-07
7,40797.609375,1224.1971435546875,42.39531707763672,0.32322999835014343,0.3055970072746277,0.0317390002310276,3.2198870182037354,9.307134628295898,0.0,0.21071599423885345,2021-01-08
8,40254.546875,1281.0772705078125,43.93285369873047,0.32691600918769836,0.33297300338745117,0.03351299837231636,3.3853819370269775,9.777765274047852,0.0,0.2243880033493042,2021-01-09
9,38356.44140625,1262.2467041015625,42.4484748840332,0.31833600997924805,0.3048950135707855,0.030410999432206154,3.466110944747925,9.305047988891602,0.0,0.21973499655723572,2021-01-10
10,35566.65625,1090.1453857421875,38.371360778808594,0.28890499472618103,0.2754659950733185,0.026124000549316406,3.1080899238586426,8.276439666748047,0.0,0.18003599345684052,2021-01-11
11,33922.9609375,1043.4345703125,38.111610412597656,0.2921229898929596,0.2870030105113983,0.026089999824762344,3.6133980751037598,8.264147758483887,0.0,0.16698800027370453,2021-01-12
12,37316.359375,1130.7393798828125,40.13593292236328,0.3055799901485443,0.3136090040206909,0.030069999396800995,3.513782024383545,10.957710266113281,0.0,0.17193099856376648,2021-01-13
13,39187.328125,1218.4530029296875,41.79368209838867,0.2954379916191101,0.3103959858417511,0.03283099830150604,3.2781639099121094,14.539050102233887,0.0,0.16485199332237244,2021-01-14
14,36825.3671875,1171.8345947265625,40.91897964477539,0.28040599822998047,0.3025299906730652,0.03401400148868561,3.2501609325408936,13.212381362915039,0.0,0.15152199566364288,2021-01-15
15,36178.140625,1233.53759765625,43.17182540893555,0.2801879942417145,0.35244399309158325,0.03276799991726875,3.4470551013946533,18.180423736572266,0.0,0.14348000288009644,2021-01-16
16,35791.27734375,1230.1722412109375,45.68461227416992,0.2773840129375458,0.3798519968986511,0.03401999920606613,3.81813907623291,16.984254837036133,0.0,0.12667100131511688,2021-01-17
17,36630.07421875,1257.279541015625,45.353172302246094,0.2847689986228943,0.3714280128479004,0.036052998155355453,3.7955150604248047,16.51292610168457,0.0,0.10465099662542343,2021-01-18
18,36069.8046875,1377.2958984375,42.7855339050293,0.2943139970302582,0.3691369891166687,0.032513998448848724,3.6418659687042236,16.468509674072266,0.0,0.11512599885463715,2021-01-19
19,35547.75,1382.2740478515625,42.60689926147461,0.2965179979801178,0.37539398670196533,0.034533001482486725,3.7235779762268066,17.948930740356445,0.0,0.11183299869298935,2021-01-20
20,30825.69921875,1121.5709228515625,38.64583969116211,0.26894599199295044,0.3102090060710907,0.02860400080680847,2.9905359745025635,15.94483757019043,0.0,0.09025300294160843,2021-01-21
21,33005.76171875,1236.51220703125,40.85757064819336,0.27279898524284363,0.34957700967788696,0.03129800036549568,3.346229076385498,17.161441802978516,0.0,0.09972699731588364,2021-01-22
22,32067.642578125,1230.9906005859375,40.81547927856445,0.271820992231369,0.345643013715744,0.03397500142455101,3.5041120052337646,18.59819984436035,0.0,0.09918399900197983,2021-01-23
23,32289.37890625,1391.609375,41.88160705566406,0.2735089957714081,0.35388100147247314,0.03317699953913689,3.634411096572876,17.999649047851562,0.0,0.10493099689483643,2021-01-24
24,32366.392578125,1324.414794921875,41.62370300292969,0.269089013338089,0.34388598799705505,0.03297799825668335,3.6999809741973877,17.250455856323242,0.0,0.10028599947690964,2021-01-25
25,32569.849609375,1357.05810546875,41.69473648071289,0.26882699131965637,0.34423398971557617,0.04335999861359596,4.04734992980957,17.117761611938477,0.0,0.10196799784898758,2021-01-26
26,30432.546875,1253.1871337890625,40.994876861572266,0.2519429922103882,0.3130800127983093,0.042072001844644547,3.690587043762207,15.504860877990723,0.0,0.09411100298166275,2021-01-27
27,33466.09765625,1332.4921875,42.52910614013672,0.26412200927734375,0.34612900018692017,0.038892000913619995,3.8220720291137695,16.94493293762207,0.0,0.0925000011920929,2021-01-28
28,34316.38671875,1382.5228271484375,42.85234832763672,0.2821879982948303,0.348131000995636,0.04027700051665306,3.8346760272979736,16.841611862182617,0.0,0.108754001557827,2021-01-29
29,34269.5234375,1376.115478515625,44.77227783203125,0.44024398922920227,0.362619012594223,0.03992500156164169,4.224276065826416,16.506908416748047,0.0,0.11193399876356125,2021-01-30
